anexo,codOrcamento,condicao,email,fone,gabinete,idParlamentar,ideCadastro,matricula,nome,nomeParlamentar,partido,sexo,uf,urlFoto
3,3728,Titular,dep.marxbeltrao@camara.gov.br,3215-5474,474,5830777,178843,169,MARX BELTRÃO LIMA SIQUEIRA,MARX BELTRÃO ,PMDB,masculino,AL,http://www.camara.gov.br/internet/deputado/bandep/178843.jpg
1,2077,Titular,dep.marcomaia@camara.gov.br,3215-5964,28,5830634,133373,496,MARCO AURÉLIO SPALL MAIA,MARCO MAIA,PT,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/133373.jpg
4,1960,Titular,dep.rubensotoni@camara.gov.br,3215-5501,501,5830485,74371,425,RUBENS OTONI GOMIDE,RUBENS OTONI,PT,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/74371.jpg
3,3070,Titular,dep.celiosilveira@camara.gov.br,3215-5565,565,5830585,178876,417,CELIO ANTONIO DA SILVEIRA,CÉLIO SILVEIRA,PSDB,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/178876.jpg
4,2531,Titular,dep.paulomaluf@camara.gov.br,3215-5512,512,5830342,132056,373,PAULO SALIM MALUF,PAULO MALUF,PP,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/132056.jpg
4,3054,Titular,dep.betorosado@camara.gov.br,3215-5840,840,5830685,178948,122,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,BETO ROSADO,PP,masculino,RN,http://www.camara.gov.br/internet/deputado/bandep/178948.jpg
4,2420,Titular,dep.lindomargarcon@camara.gov.br,3215-5548,548,5830734,141483,45,LINDOMAR BARBOSA ALVES,LINDOMAR GARÇON,PMDB,masculino,RO,http://www.camara.gov.br/internet/deputado/bandep/141483.jpg
4,3086,Titular,dep.dulcemiranda@camara.gov.br,3215-5530,530,5830311,178994,61,DULCE FERREIRA PAGANI MIRANDA,DULCE MIRANDA,PMDB,feminino,TO,http://www.camara.gov.br/internet/deputado/bandep/178994.jpg
3,2838,Titular,dep.mandetta@camara.gov.br,3215-5577,577,5830643,160633,436,LUIZ HENRIQUE MANDETTA,MANDETTA,DEM,masculino,MS,http://www.camara.gov.br/internet/deputado/bandep/160633.jpg
4,3098,Titular,dep.ezequielteixeira@camara.gov.br,3215-5210,210,5830620,178941,303,EZEQUIEL CORTAZ TEIXEIRA,EZEQUIEL TEIXEIRA,SD,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/178941.jpg
4,3611,Titular,dep.luizaerundina@camara.gov.br,3215-5620,620,5830288,74784,371,LUIZA ERUNDINA DE SOUSA,LUIZA ERUNDINA,PSB,feminino,SP,http://www.camara.gov.br/internet/deputado/bandep/74784.jpg
4,3332,Titular,dep.ricardobarros@camara.gov.br,3215-5412,412,5830357,73788,462,RICARDO JOSÉ MAGALHÃES BARROS,RICARDO BARROS,PP,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/73788.jpg
4,2858,Titular,dep.alceumoreira@camara.gov.br,3215-5238,238,5830689,160559,486,ALCEU MOREIRA DA SILVA,ALCEU MOREIRA,PMDB,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/160559.jpg
4,3748,Titular,dep.robertogoes@camara.gov.br,3215-5462,462,5830334,178995,17,ANTONIO ROBERTO RODRIGUES GÓES DA SILVA,ROBERTO GÓES,PDT,masculino,AP,http://www.camara.gov.br/internet/deputado/bandep/178995.jpg
4,3091,Titular,dep.elmarnascimento@camara.gov.br,3215-5935,935,5830666,178854,198,ELMAR JOSE VIEIRA NASCIMENTO,ELMAR NASCIMENTO,DEM,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/178854.jpg
4,3322,Titular,dep.paulofeijo@camara.gov.br,3215-5336,336,5830551,74017,323,PAULO FERNANDO FEIJO TORRES,PAULO FEIJÓ,PR,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/74017.jpg
4,1141,Titular,dep.wladimircosta@camara.gov.br,3215-5343,343,5830474,73930,23,WLADIMIR AFONSO DA COSTA RABELO,WLADIMIR COSTA,SD,masculino,PA,http://www.camara.gov.br/internet/deputado/bandep/73930.jpg
4,3122,Titular,dep.anibalgomes@camara.gov.br,3215-5731,731,5830497,74212,87,ANÍBAL FERREIRA GOMES,ANÍBAL GOMES,PMDB,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/74212.jpg
4,2675,Titular,dep.professoramarcivania@camara.gov.br,3215-5338,338,5830503,160641,15,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PROFESSORA MARCIVANIA,PT,feminino,AP,http://www.camara.gov.br/internet/deputado/bandep/160641.jpg
4,2442,Titular,dep.joseguimaraes@camara.gov.br,3215-5306,306,5830597,141470,103,JOSÉ NOBRE GUIMARÃES,JOSÉ GUIMARÃES,PT,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/141470.jpg
4,2868,Titular,dep.nelsonmarchezanjunior@camara.gov.br,3215-5250,250,5830428,160567,509,NELSON MARCHEZAN JÚNIOR,NELSON MARCHEZAN JUNIOR,PSDB,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/160567.jpg
4,1799,Titular,dep.betomansur@camara.gov.br,3215-5616,616,5830451,73437,340,PAULO ROBERTO GOMES MANSUR,BETO MANSUR,PRB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/73437.jpg
4,3682,Titular,dep.juliodelgado@camara.gov.br,3215-5323,323,5830574,73586,250,JÚLIO CÉSAR DELGADO,JÚLIO DELGADO,PSB,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/73586.jpg
4,3752,Titular,dep.ronaldocarletto@camara.gov.br,3215-5262,262,5830566,178861,216,RONALDO CARLETTO,RONALDO CARLETTO,PP,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/178861.jpg
4,3094,Titular,dep.evandrogussi@camara.gov.br,3215-5433,433,5830649,178828,354,EVANDRO HERRERA BERTONE GUSSI,EVANDRO GUSSI,PV,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178828.jpg
4,3717,Titular,dep.marcioalvino@camara.gov.br,3215-5331,331,5830720,178983,370,MARCIO LUIZ ALVINO DE SOUZA,MARCIO ALVINO,PR,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178983.jpg
4,1504,Titular,dep.juliolopes@camara.gov.br,3215-5544,544,5830411,74253,308,JULIO LUIZ BAPTISTA LOPES,JULIO LOPES,PP,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/74253.jpg
4,2083,Titular,dep.andrefigueiredo@camara.gov.br,3215-5940,940,5830614,133439,89,ANDRÉ PEIXOTO FIGUEIREDO LIMA,ANDRÉ FIGUEIREDO,PDT,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/133439.jpg
4,3547,Titular,dep.sergioreis@camara.gov.br,3215-5213,213,5830603,178991,390,SERGIO BAVINI,SÉRGIO REIS,PRB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178991.jpg
4,3614,Titular,dep.miltonmonti@camara.gov.br,3215-5328,328,5830520,74787,374,MILTON ANTONIO CASQUEL MONTI,MILTON MONTI,PR,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/74787.jpg
3,2863,Titular,dep.giovanicherini@camara.gov.br,3215-5468,468,5830766,160673,502,GIOVANI CHERINI,GIOVANI CHERINI,PDT,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/160673.jpg
4,2774,Titular,dep.paulofoletto@camara.gov.br,3215-5839,839,5830457,160517,280,PAULO ROBERTO FOLETTO,PAULO FOLETTO,PSB,masculino,ES,http://www.camara.gov.br/internet/deputado/bandep/160517.jpg
4,3230,Titular,dep.jaimemartins@camara.gov.br,3215-5904,904,5830468,74665,240,JAIME MARTINS FILHO,JAIME MARTINS,PSD,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/74665.jpg
4,9048,Titular,dep.osmarterra@camara.gov.br,3215-5927,927,5830557,73692,497,OSMAR GASPARINI TERRA,OSMAR TERRA,PMDB,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/73692.jpg
4,3264,Titular,dep.givaldovieira@camara.gov.br,3215-5805,805,5830706,178872,276,GIVALDO VIEIRA DA SILVA,GIVALDO VIEIRA,PT,masculino,ES,http://www.camara.gov.br/internet/deputado/bandep/178872.jpg
4,1159,Titular,dep.sarneyfilho@camara.gov.br,3215-5202,202,5830511,74210,85,JOSÉ SARNEY FILHO,SARNEY FILHO,PV,masculino,MA,http://www.camara.gov.br/internet/deputado/bandep/74210.jpg
4,1355,Titular,dep.josecarlosaraujo@camara.gov.br,3215-5232,232,5830760,74140,197,JOSÉ CARLOS LEÃO DE ARAÚJO,JOSÉ CARLOS ARAÚJO,PSD,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/74140.jpg
4,1568,Titular,dep.gilbertonascimento@camara.gov.br,3215-5834,834,5830514,74270,360,GILBERTO NASCIMENTO SILVA,GILBERTO NASCIMENTO,PSC,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/74270.jpg
4,3765,Titular,dep.sorayasantos@camara.gov.br,3215-5352,352,5830365,178946,328,SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,PMDB,feminino,RJ,http://www.camara.gov.br/internet/deputado/bandep/178946.jpg
4,1310,Titular,dep.beneditadasilva@camara.gov.br,3215-5330,330,5830660,73701,291,BENEDITA SOUZA DA SILVA SAMPAIO,BENEDITA DA SILVA,PT,feminino,RJ,http://www.camara.gov.br/internet/deputado/bandep/73701.jpg
4,3764,Titular,dep.simonemorgado@camara.gov.br,3215-5440,440,5830394,178911,35,SIMONE MARIA MORGADO FERREIRA,SIMONE MORGADO,PMDB,feminino,PA,http://www.camara.gov.br/internet/deputado/bandep/178911.jpg
4,3771,Titular,dep.toninhowandscheer@camara.gov.br,3215-5902,902,5830417,178934,470,ANTONIO WANDSCHEER,TONINHO WANDSCHEER,PT,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/178934.jpg
3,3735,Titular,dep.niltotatto@camara.gov.br,3215-5267,267,5830749,178986,382,NILTO IGNACIO TATTO,NILTO TATTO,PT,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178986.jpg
4,1339,Titular,dep.danielalmeida@camara.gov.br,3215-5317,317,5830345,74060,188,DANIEL GOMES DE ALMEIDA,DANIEL ALMEIDA,PCdoB,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/74060.jpg
4,2979,Titular,dep.fabioreis@camara.gov.br,3215-5456,456,5830680,171623,178,FABIO DE ALMEIDA REIS,FABIO REIS,PMDB,masculino,SE,http://www.camara.gov.br/internet/deputado/bandep/171623.jpg
3,3699,Titular,dep.juscelinofilho@camara.gov.br,3215-5370,370,5830606,178886,79,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,JUSCELINO FILHO,PRP,masculino,MA,http://www.camara.gov.br/internet/deputado/bandep/178886.jpg
4,2922,Titular,dep.ronaldonogueira@camara.gov.br,3215-5625,625,5830723,163321,517,RONALDO NOGUEIRA DE OLIVEIRA,RONALDO NOGUEIRA,PTB,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/163321.jpg
3,3067,Titular,dep.carlosgomes@camara.gov.br,3215-5285,285,5830302,178962,492,ANTONIO CARLOS GOMES DA SILVA,CARLOS GOMES,PRB,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/178962.jpg
4,-,Titular,dep.pastorfranklin@camara.gov.br,3215-5627,627,5830835,186775,544,FRANKLIN ROBERTO DE LIMA SOUZA,PASTOR FRANKLIN,PTdoB,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/186775.jpg
4,2397,Titular,dep.hugoleal@camara.gov.br,3215-5631,631,5830320,141450,306,HUGO LEAL MELO DA SILVA,HUGO LEAL,PROS,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/141450.jpg
3,2737,Titular,dep.antoniobrito@camara.gov.br,3215-5479,479,5830609,160553,189,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,ANTONIO BRITO,PTB,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/160553.jpg
4,1445,Titular,dep.geraldoresende@camara.gov.br,3215-5905,905,5830512,74374,435,GERALDO RESENDE PEREIRA,GERALDO RESENDE,PMDB,masculino,MS,http://www.camara.gov.br/internet/deputado/bandep/74374.jpg
4,2520,Titular,dep.carloszarattini@camara.gov.br,3215-5808,808,5830561,141398,398,CARLOS ALBERTO ROLIM ZARATTINI,CARLOS ZARATTINI,PT,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/141398.jpg
4,3763,Titular,dep.sheridan@camara.gov.br,3215-5246,246,5830489,178961,8,SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,SHÉRIDAN,PSDB,feminino,RR,http://www.camara.gov.br/internet/deputado/bandep/178961.jpg
4,3491,Titular,dep.josuebengtson@camara.gov.br,3215-5505,505,5830632,74351,30,JOSUÉ BENGTSON,JOSUÉ BENGTSON,PTB,masculino,PA,http://www.camara.gov.br/internet/deputado/bandep/74351.jpg
4,3742,Titular,dep.rafaelmotta@camara.gov.br,3215-5737,737,5830775,178951,123,RAFAEL HUETE DA MOTTA,RAFAEL MOTTA,PROS,masculino,RN,http://www.camara.gov.br/internet/deputado/bandep/178951.jpg
4,2532,Titular,dep.paulopereiradasilva@camara.gov.br,3215-5217,217,5830369,141518,372,PAULO PEREIRA DA SILVA,PAULO PEREIRA DA SILVA,SD,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/141518.jpg
4,2813,Titular,dep.paulofreire@camara.gov.br,3215-5416,416,5830701,160558,380,PAULO ROBERTO FREIRE DA COSTA,PAULO FREIRE,PR,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/160558.jpg
4,2755,Titular,dep.dimasfabiano@camara.gov.br,3215-5325,325,5830297,160599,231,DIMAS FABIANO TOLEDO JÚNIOR,DIMAS FABIANO,PP,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/160599.jpg
4,2850,Titular,dep.esperidiaoamin@camara.gov.br,3215-5252,252,5830346,160649,471,ESPERIDIÃO AMIN HELOU FILHO,ESPERIDIÃO AMIN,PP,masculino,SC,http://www.camara.gov.br/internet/deputado/bandep/160649.jpg
4,3036,Titular,dep.alanrick@camara.gov.br,3215-5650,650,5830326,178836,53,ALAN RICK MIRANDA,ALAN RICK,PRB,masculino,AC,http://www.camara.gov.br/internet/deputado/bandep/178836.jpg
4,2701,Titular,dep.domingosneto@camara.gov.br,3215-5546,546,5830652,143632,97,DOMINGOS GOMES DE AGUIAR NETO,DOMINGOS NETO,PROS,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/143632.jpg
4,2478,Titular,dep.jomoraes@camara.gov.br,3215-5322,322,5830724,141503,246,MARIA DO SOCORRO JÔ MORAES,JÔ MORAES,PCdoB,feminino,MG,http://www.camara.gov.br/internet/deputado/bandep/141503.jpg
4,2936,Titular,dep.nilsonleitao@camara.gov.br,3215-5825,825,5830675,166401,405,NILSON APARECIDO LEITÃO,NILSON LEITÃO,PSDB,masculino,MT,http://www.camara.gov.br/internet/deputado/bandep/166401.jpg
4,3387,Titular,dep.wolneyqueiroz@camara.gov.br,3215-5936,936,5830303,74439,164,WOLNEY QUEIROZ MACIEL,WOLNEY QUEIROZ,PDT,masculino,PE,http://www.camara.gov.br/internet/deputado/bandep/74439.jpg
4,2678,Titular,dep.arnaldojordy@camara.gov.br,3215-5506,506,5830744,160602,18,ARNALDO JORDY FIGUEIREDO,ARNALDO JORDY,PPS,masculino,PA,http://www.camara.gov.br/internet/deputado/bandep/160602.jpg
4,3260,Titular,dep.josepriante@camara.gov.br,3215-5752,752,5830495,74079,26,JOSÉ BENITO PRIANTE JÚNIOR,JOSÉ PRIANTE,PMDB,masculino,PA,http://www.camara.gov.br/internet/deputado/bandep/74079.jpg
4,1345,Titular,dep.simaosessim@camara.gov.br,3215-5709,709,5830589,73424,327,SIMÃO SESSIM,SIMÃO SESSIM,PP,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/73424.jpg
4,2834,Titular,dep.heulercruvinel@camara.gov.br,3215-5536,536,5830638,160596,423,HEULER ABREU CRUVINEL,HEULER CRUVINEL,PSD,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/160596.jpg
4,3737,Titular,dep.orlandosilva@camara.gov.br,3215-5923,923,5830446,178987,386,ORLANDO SILVA DE JESUS JUNIOR,ORLANDO SILVA,PCdoB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178987.jpg
4,2723,Titular,dep.lucianasantos@camara.gov.br,3215-5524,524,5830532,160628,153,LUCIANA BARBOSA DE OLIVEIRA SANTOS,LUCIANA SANTOS,PCdoB,feminino,PE,http://www.camara.gov.br/internet/deputado/bandep/160628.jpg
3,3715,Titular,dep.marcelobelinati@camara.gov.br,3215-5268,268,5830581,178932,461,MARCELO BELINATI MARTINS,MARCELO BELINATI,PP,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/178932.jpg
4,3731,Titular,dep.misaelvarella@camara.gov.br,3215-5721,721,5830681,178895,245,MISAEL ARTUR FERREIRA VARELLA,MISAEL VARELLA,DEM,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/178895.jpg
4,2615,Titular,dep.robertoalves@camara.gov.br,3215-5946,946,5830289,152610,387,BENEDITO ROBERTO ALVES FERREIRA,ROBERTO ALVES,PRB,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/152610.jpg
4,3739,Titular,dep.pedrocunhalima@camara.gov.br,3215-5611,611,5830538,178912,135,PEDRO OLIVEIRA CUNHA LIMA,PEDRO CUNHA LIMA,PSDB,masculino,PB,http://www.camara.gov.br/internet/deputado/bandep/178912.jpg
4,2764,Titular,dep.padrejoao@camara.gov.br,3215-5743,743,5830781,160556,259,JOÃO CARLOS SIQUEIRA,PADRE JOÃO,PT,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/160556.jpg
4,2566,Titular,dep.sergiomoraes@camara.gov.br,3215-5258,258,5830340,141542,512,SÉRGIO IVAN MORAES,SÉRGIO MORAES,PTB,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/141542.jpg
4,2707,Titular,dep.iracemaportella@camara.gov.br,3215-5924,924,5830389,67138,113,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,IRACEMA PORTELLA,PP,feminino,PI,http://www.camara.gov.br/internet/deputado/bandep/67138.jpg
4,2441,Titular,dep.joseairtoncirilo@camara.gov.br,3215-5319,319,5830501,141464,101,JOSÉ AIRTON FÉLIX CIRILO DA SILVA,JOSÉ AIRTON CIRILO,PT,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/141464.jpg
4,2746,Titular,dep.luciovieiralima@camara.gov.br,3215-5612,612,5830430,94931,205,LÚCIO QUADROS VIEIRA LIMA,LUCIO VIEIRA LIMA,PMDB,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/94931.jpg
3,2786,Titular,dep.marcelomatos@camara.gov.br,3215-5579,579,5830762,76287,311,MARCELO VIVIANI GONÇALVES,MARCELO MATOS,PDT,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/76287.jpg
4,2864,Titular,dep.jeronimogoergen@camara.gov.br,3215-5316,316,5830478,160570,505,JERÔNIMO PIZZOLOTTO GOERGEN,JERÔNIMO GOERGEN,PP,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/160570.jpg
4,2032,Titular,dep.heraclitofortes@camara.gov.br,3215-5708,708,5830716,97707,115,HERÁCLITO DE SOUSA FORTES,HERÁCLITO FORTES,PSB,masculino,PI,http://www.camara.gov.br/internet/deputado/bandep/97707.jpg
4,2702,Titular,dep.geneciasnoronha@camara.gov.br,3215-5244,244,5830384,160669,99,GENECIAS MATEUS NORONHA,GENECIAS NORONHA,SD,masculino,CE,http://www.camara.gov.br/internet/deputado/bandep/160669.jpg
4,3705,Titular,dep.lucianoducci@camara.gov.br,3215-5427,427,5830407,178931,457,LUCIANO DUCCI,LUCIANO DUCCI,PSB,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/178931.jpg
4,3747,Titular,dep.ricardoteobaldo@camara.gov.br,3215-5603,603,5830593,178920,157,RICARDO TEOBALDO CAVALCANTI,RICARDO TEOBALDO ,PTB,masculino,PE,http://www.camara.gov.br/internet/deputado/bandep/178920.jpg
4,2852,Titular,dep.jorginhomello@camara.gov.br,3215-5329,329,5830670,160509,476,JORGINHO DOS SANTOS MELLO,JORGINHO MELLO,PR,masculino,SC,http://www.camara.gov.br/internet/deputado/bandep/160509.jpg
4,3773,Titular,dep.valmirprascidelli@camara.gov.br,3215-5837,837,5830355,113247,393,VALMIR PRASCIDELLI,VALMIR PRASCIDELLI,PT,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/113247.jpg
4,3687,Titular,dep.joaogualberto@camara.gov.br,3215-5358,358,5830693,178856,200,JOAO GUALBERTO VASCONCELOS,JOÃO GUALBERTO,PSDB,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/178856.jpg
4,2745,Titular,dep.josenunes@camara.gov.br,3215-5728,728,5830570,160619,201,JOSÉ NUNES SOARES,JOSÉ NUNES,PSD,masculino,BA,http://www.camara.gov.br/internet/deputado/bandep/160619.jpg
4,2849,Titular,dep.zecadirceu@camara.gov.br,3215-5613,613,5830576,160592,468,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,ZECA DIRCEU,PT,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/160592.jpg
4,3725,Titular,dep.marianacarvalho@camara.gov.br,3215-5508,508,5830624,178956,51,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,MARIANA CARVALHO,PSDB,feminino,RO,http://www.camara.gov.br/internet/deputado/bandep/178956.jpg
4,2818,Titular,dep.tiririca@camara.gov.br,3215-5637,637,5830378,160976,392,FRANCISCO EVERARDO OLIVEIRA SILVA,TIRIRICA,PR,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/160976.jpg
4,2754,Titular,dep.diegoandrade@camara.gov.br,3215-5307,307,5830547,160588,228,DIEGO LEONARDO DE ANDRADE CARVALHO,DIEGO ANDRADE,PSD,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/160588.jpg
4,3722,Titular,dep.marcosreategui@camara.gov.br,3215-5344,344,5830524,178852,12,MARCOS JOSE REATEGUI SOUZA,MARCOS REATEGUI,PSC,masculino,AP,http://www.camara.gov.br/internet/deputado/bandep/178852.jpg
4,2098,Titular,dep.afonsohamm@camara.gov.br,3215-5604,604,5830647,136811,487,JOSÉ ALFONSO EBERT HAMM,AFONSO HAMM,PP,masculino,RS,http://www.camara.gov.br/internet/deputado/bandep/136811.jpg
4,3496,Titular,dep.silascamara@camara.gov.br,3215-5532,532,5830401,74356,39,SILAS CÂMARA,SILAS CÂMARA,PSD,masculino,AM,http://www.camara.gov.br/internet/deputado/bandep/74356.jpg
4,3783,Titular,dep.zecadopt@camara.gov.br,3215-5860,860,5830424,178902,440,JOSE ORCIRIO MIRANDA DOS SANTOS,ZECA DO PT,PT,masculino,MS,http://www.camara.gov.br/internet/deputado/bandep/178902.jpg
3,3776,Titular,dep.victormendes@camara.gov.br,3215-5580,580,5830507,178888,82,CARLOS VICTOR GUTERRES MENDES,VICTOR MENDES,PV,masculino,MA,http://www.camara.gov.br/internet/deputado/bandep/178888.jpg
4,3030,Titular,dep.abelmesquitajr@camara.gov.br,3215-5248,248,5830756,178957,1,ABEL SALVADOR MESQUITA JUNIOR,ABEL MESQUITA JR.,PDT,masculino,RR,http://www.camara.gov.br/internet/deputado/bandep/178957.jpg
4,1331,Titular,dep.aliceportugal@camara.gov.br,3215-5420,420,5830470,74057,180,ALICE MAZZUCO PORTUGAL,ALICE PORTUGAL,PCdoB,feminino,BA,http://www.camara.gov.br/internet/deputado/bandep/74057.jpg
3,2662,Titular,dep.rogeriorosso@camara.gov.br,3215-5283,283,5830553,160426,413,ROGÉRIO SCHUMANN ROSSO,ROGÉRIO ROSSO,PSD,masculino,DF,http://www.camara.gov.br/internet/deputado/bandep/160426.jpg
4,2487,Titular,dep.pauloabiackel@camara.gov.br,3215-5460,460,5830616,141516,263,PAULO ABI-ACKEL,PAULO ABI-ACKEL,PSDB,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/141516.jpg
4,1775,Titular,dep.jandirafeghali@camara.gov.br,3215-5622,622,5830367,74848,305,JANDIRA FEGHALI,JANDIRA FEGHALI,PCdoB,feminino,RJ,http://www.camara.gov.br/internet/deputado/bandep/74848.jpg
4,1473,Titular,dep.deley@camara.gov.br,3215-5742,742,5830564,74172,298,WANDERLEY ALVES DE OLIVEIRA,DELEY,PTB,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/74172.jpg
4,3265,Titular,dep.jovairarantes@camara.gov.br,3215-5504,504,5830361,73666,419,JOVAIR DE OLIVEIRA ARANTES,JOVAIR ARANTES,PTB,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/73666.jpg
4,3774,Titular,dep.venezianovitaldorego@camara.gov.br,3215-5833,833,5830710,178913,137,VENEZIANO VITAL DO RÊGO SEGUNDO NETO,VENEZIANO VITAL DO RÊGO,PMDB,masculino,PB,http://www.camara.gov.br/internet/deputado/bandep/178913.jpg
3,3088,Titular,dep.eduardobolsonaro@camara.gov.br,3215-5481,481,5830315,92346,352,EDUARDO NANTES BOLSONARO,EDUARDO BOLSONARO,PSC,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/92346.jpg
4,2482,Titular,dep.luizfernandofaria@camara.gov.br,3215-5832,832,5830610,141487,256,LUIZ FERNANDO RAMOS FARIA,LUIZ FERNANDO FARIA,PP,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/141487.jpg
4,3078,Titular,dep.cristianebrasil@camara.gov.br,3215-5644,644,5830347,93472,296,CRISTIANE BRASIL FRANCISCO,CRISTIANE BRASIL,PTB,feminino,RJ,http://www.camara.gov.br/internet/deputado/bandep/93472.jpg
4,3346,Titular,dep.herculanopassos@camara.gov.br,3215-5926,926,5830513,178981,362,HERCULANO CASTILHO PASSOS JUNIOR,HERCULANO PASSOS,PSD,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178981.jpg
4,3751,Titular,dep.rodrigopacheco@camara.gov.br,3215-5720,720,5830584,178897,260,RODRIGO OTAVIO SOARES PACHECO,RODRIGO PACHECO,PMDB,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/178897.jpg
3,3050,Titular,dep.arthurvirgiliobisneto@camara.gov.br,3215-5583,583,5830441,178847,37,ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,ARTHUR VIRGÍLIO BISNETO,PSDB,masculino,AM,http://www.camara.gov.br/internet/deputado/bandep/178847.jpg
4,2497,Titular,dep.chicodangelo@camara.gov.br,3215-5542,542,5830298,141439,293,FRANCISCO JOSÉ D'ANGELO PINTO,CHICO D'ANGELO,PT,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/141439.jpg
4,1468,Titular,dep.chicoalencar@camara.gov.br,3215-5848,848,5830653,74171,295,FRANCISCO RODRIGUES DE ALENCAR FILHO,CHICO ALENCAR,PSOL,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/74171.jpg
4,2726,Titular,dep.arthurlira@camara.gov.br,3215-5942,942,5830321,160541,162,ARTHUR CÉSAR PEREIRA DE LIRA,ARTHUR LIRA,PP,masculino,AL,http://www.camara.gov.br/internet/deputado/bandep/160541.jpg
4,2450,Titular,dep.romulogouveia@camara.gov.br,3215-5411,411,5830776,141536,134,RÔMULO JOSÉ DE GOUVEIA,RÔMULO GOUVEIA,PSD,masculino,PB,http://www.camara.gov.br/internet/deputado/bandep/141536.jpg
