"tipo","numero","ano","ementa","explicacao_ementa"
"PLP",106,2011,"Acrescenta novos dispositivos à Lei Complementar nº 123, de 14 de dezembro de 2006, que ""Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte"", com o objetivo de autorizar a constituição de sociedade de garantia solidária, e dá outras providências. 

NOVA EMENTA: Acrescenta dispositivos à Lei Complementar n° 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, com o objetivo de autorizar a constituição de sociedade de garantia solidária, e dá outras providências.",NA
"PLP",278,2013,"Altera a Lei Complementar n° 123, de 14 de dezembro de 2006.","Autoriza o Microempreendedor Individual - MEI a utilizar  sua residência como sede do estabelecimento, quando não for indispensável a existência de local próprio para o exercício da atividade."
"PL",2960,2015,"Dispõe sobre o Regime Especial de Regularização Cambial e Tributária de recursos, bens ou direitos de origem lícita não declarados, remetidos, mantidos no exterior ou repatriados por residentes ou domiciliados no País, e dá outras providências.",NA
"PL",3131,2008,"Altera os arts. 61, 121, 129 e 147 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 2º da Lei nº 8.072, de 25 de julho de 1990 - Lei dos Crimes Hediondos, para prever como qualificadora e circunstância que agrava a pena a hipótese de a vítima ou de o autor ser agente do Estado, no exercício de cargo ou função pública ou em decorrência da mesma.",NA
"MPV",682,2015,"Altera a Lei nº 12.712, de 30 de agosto de 2012, para estabelecer que a Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A. - ABGF ficará encarregada da gestão do Fundo de Estabilidade do Seguro Rural - FESR até a completa liquidação das obrigações deste Fundo.

NOVA EMENTA: Altera a Lei nº 12.712, de 30 de agosto de 2012, para estabelecer que a Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A. - ABGF ficará encarregada da gestão do Fundo de Estabilidade do Seguro Rural - FESR até a completa liquidação das obrigações deste Fundo, as Leis nºs 4.829, de 5 de novembro de 1965, e 10.823, de 19 de dezembro de 2003, e o Decreto-Lei nº 73, de 21 de novembro de 1966.",NA
"PEC",457,2005,"Altera o art. 40 da Constituição Federal, relativo ao limite de idade para a aposentadoria compulsória do servidor público em geral, e acrescenta dispositivo ao Ato das Disposições Constitucionais Transitórias.","Trata da aposentadoria compulsória aos 75 (setenta e cinco) anos de Ministros do Supremo Tribunal Federal, dos demais Tribunais Superiores e do Tribunal de Contas da União."
"PL",2505,2000,"Determina que o material apreendido pela Polícia Federal, fruto de contrabando e que possa vir a ser usado no combate ao crime, deverá ser repassado às Secretarias de Segurança Pública Estaduais e à Polícia Federal.",NA
"REQ",1118,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 7885/2014.",NA
"PL",4246,2012,"Dispõe sobre o exercicio da profissão de motorista.

NOVA EMENTA: Dispõe sobre o exercício da profissão de motorista; altera a Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro, e 11.442, de 5 de janeiro de 2007 (empresas e transportadores autônomos de carga), para disciplinar a jornada de trabalho e o tempo de direção do motorista profissional; altera a Lei nº 7.408, de 25 de novembro de 1985; revoga dispositivos da Lei nº 12.619, de 30 de abril de 2012; e dá outras providências.","Altera o Decreto-lei nº 5.452, de 1943 e a Lei nº 9.503, de 1997."
"PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.

NOVA EMENTA:  Dispõe sobre o contrato de trabalho doméstico; altera as Leis nºs 8.212, de 24 de julho de 1991, 8.213, de 24 de julho de 1991, e 11.196, de 21 de novembro de 2005; e revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, e a Lei nº 5.859, de 11 de dezembro de 1972.","Regulamenta o art. 7º, parágrafo único, da Constituição Federal (Emenda Constitucional nº 72, de 2013, origem: PEC nº 66, de 2012 - PEC das domésticas). 
Revoga o inciso I do art. 3º da Lei nº 8.009, de 1990; o art. 3º da Lei nº 8.213, de 1991, o inciso VII do art. 12 da Lei nº 9.250 de 1995 e revoga a Lei nº 5.859, de 1972."
"PL",789,2007,"Altera a Lei nº 8.069, de 13 de julho de 1990, a fim de tipificar como crime o emprego de criança e adolescente para a realização dos delitos que menciona.",NA
"MPV",660,2014,"Altera a Lei nº 12.800, de 23 de abril de 2013, que dispõe sobre as tabelas de salários, vencimentos, soldos e demais vantagens aplicáveis aos servidores civis, aos militares e aos empregados oriundos do exTerritório
Federal de Rondônia integrantes do quadro em extinção de que trata o art. 85 da Lei nº 12.249, de 11 de junho de 2010, e dá outras providências.

NOVA EMENTA: Altera a Lei nº 12.800, de 23 de abril de 2013, que dispõe sobre as tabelas de salários, vencimentos, soldos e demais vantagens aplicáveis aos servidores civis, aos militares e  aos  empregados  oriundos   do ex-Território Federal de Rondônia integrantes do quadro em extinção de que trata o art. 85 da Lei nº 12.249, de 11 de junho de 2010, e os Anexos III e III-A da Lei nº 11.356, de 19 de outubro de 2006; e dá outras providências.","Dispõe sobre a situação dos servidores e policiais militares dos Ex-Territórios Federais do Amapá e Roraima."
"REQ",1030,2015,"Requer que esta Comissão Parlamentar de Inquérito convoque o senhor Walter Faria.",NA
"REQ",2507,2015,"Requer regime de urgência para apreciação de proposição.",NA
"REQ",784,2015,"Requer a esta Comissão Parlamentar de Inquérito convoque o Senhor Paulo Pires de Almeida.",NA
"PL",2750,2015,"Aplica o disposto nos art. 3º, I, ""a"" e ""b"", e art. 4º, § 2º, I, ""a"" e II ""a"", ""b"" e ""c"", e § 4º da Lei n. 7.998/1990, com s redação dada pela Lei n.13.134/2015, aos trabalhadores desempregados que, no período de vigência do art. 1º e do art.4º, III, da Medida Provisória n. 665/2014, compreendido entre 28 de fevereiro e 16 de junho de 2015, atendiam às condições, requisitos e exigências previstos naquela lei, para fins de obtenção, majoração ou ampliação do número de parcelas do benefício do seguro desemprego, assegurando-se os direitos adquiridos.",NA
"REQ",1126,2015,"Solicita a convocação do Senhor ROGÉRIO ARAÚJO, para prestar depoimento na CPI PETROBRAS.",NA
"PEC",209,2012,"Insere o § 1º ao art. 105, da Constituição Federal, e renumera o parágrafo único.","Para atribuir requisito de admissibilidade ao recurso especial no âmbito do STJ."
"MPV",681,2015,"Altera a Lei nº 10.820, de 17 de dezembro de 2003, a Lei nº 8.213, de 24 de julho de 1991, e a Lei nº 8.112, de 11 de dezembro de 1990, para dispor sobre desconto em folha de valores destinados ao pagamento de cartão de crédito.",NA
"REQ",1126,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 3111/2012.",NA
"PL",7735,2014,"Regulamenta o inciso II do § 1º e o § 4º do art. 225 da Constituição; os arts. 1, 8, ""j"", 10, ""c"", 15 e 16, §§ 3 e 4 da Convenção sobre Diversidade Biológica, promulgada pelo Decreto nº 2.519, de 16 de março de 1998; dispõe sobre o acesso ao patrimônio genético; sobre a proteção e o acesso ao conhecimento tradicional associado; sobre a repartição de benefícios para conservação e uso sustentável da biodiversidade; e dá outras providências.

NOVA EMENTA: Regulamenta o inciso II do § 1º e o § 4º do art. 225 da Constituição Federal, o Artigo 1,  a alínea j do Artigo 8, a alínea c do Artigo 10, o Artigo 15 e os §§ 3º e 4º do Artigo 16 da Convenção sobre Diversidade Biológica, promulgada pelo Decreto nº 2.519, de 16 de março de 1998; dispõe sobre o acesso ao patrimônio genético, sobre a proteção e o acesso ao conhecimento tradicional associado e sobre a repartição de benefícios para conservação e uso sustentável da biodiversidade; revoga a Medida Provisória nº 2.186-16, de 23 de agosto de 2001; e dá outras providências.","Altera a Medida Provisória nº 2.186-16, de 2001."
"REQ",3117,2015,"Requer urgência, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, para apreciação do Projeto de Lei nº 3.075, de 2015, que ""concede anistia aos condutores de veículos automotores multados pelo não uso de extintor de incêndio ou pelo uso de equipamento vencido"".",NA
"PL",2020,2015,"Disciplina a ação de indisponibilidade de bens, direitos ou valores em decorrência de resolução do Conselho de Segurança das Nações Unidas - CSNU.",NA
"PEC",358,2013,"Altera os arts. 165 e 166 da Constituição Federal, para tornar obrigatória a execução da programação orçamentária que especifica.

NOVA EMENTA: Altera os arts. 165, 166 e 198 da Constituição Federal, para tornar obrigatória a execução da programação orçamentária que especifica.",NA
"REQ",1108,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PLP 34/2015",NA
"PEC",395,2014,"Altera a redação do inciso IV do art. 206 da Constituição Federal, referente à gratuidade do ensino público em estabelecimentos oficiais.",NA
"MPV",670,2015,"Altera a Lei nº 11.482, de 31 de maio de 2007, para dispor sobre os valores da tabela mensal do Imposto sobre a Renda da Pessoa Física; a Lei nº 7.713, de 22 de dezembro de 1988; e a Lei nº 9.250, de 26 de dezembro de 1995.",NA
"PL",3481,2012,"Dispõe sobre uso de explosivos na destruição ou rompimento de obstáculo para o crime de Furto e dá outras providências.

NOVA EMENTA: Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, dispondo sobre uso de explosivos na destruição ou rompimento de obstáculo para o crime de furto e dá outras providências.","Altera o Decreto-lei nº 2.848, de 1940."
"REQ",1118,2015,"Requer a esta Comissão Parlamentar de Inquérito que determine à Fundação Petrobras de Seguridade Social (Petros), o envio, no prazo de 10 (dez) dias, cópia de todos os documentos referentes ao processo de investimento na empresa Sete Brasil Participações S/A, tais como os projetos de investimentos, análise técnica do investimento nas respectivas áreas, parecer jurídico, análise dos gerentes das áreas que participam do comitê de investimento, decisão do colegiado da diretoria e quaisquer outros documentos referentes ao processo supracitado.",NA
"PL",4148,2008,"Altera e acresce dispositivos à Lei nº 11.105, de 24 de março de 2005.

NOVA EMENTA: Altera a Lei nº 11.105, de 24 de março de 2005.","Estabelece que os rótulos dos alimentos destinados ao consumo humano informem ao consumidor a natureza transgênica do alimento."
"REC",49,2015,"Recurso contra apreciação conclusiva pelas Comissões do Projeto de Lei nº 8.170, de 2014, que  ""concede anistia aos débitos decorrentes de multas cominadas pelo IBAMA aos Municípios por infrações administrativas ambientais ocorridas antes da vigência da Lei Complementar nº 140, de 8 de dezembro de 2011, nos termos que especifica"".",NA
"REQ",1041,2015,"Solicita a oitiva do Sr. Ishiro Inagaki.",NA
"MPV",679,2015,"Dispõe sobre autorização para a realização de obras e serviços necessários ao fornecimento de energia elétrica temporária para os Jogos Olímpicos e Paraolímpicos de 2016, de que trata a Lei no 12.035, de 1o de outubro de 2009, e altera a Lei nº 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa Minha Vida e sobre a regularização fundiária de assentamentos localizados em áreas urbanas, a Lei nº 12.035, de 2009, que institui o Ato Olímpico, e a Lei nº 11.473, de 10 de maio de 2007, que dispõe sobre cooperação federativa no âmbito da segurança pública.

NOVA EMENTA: Dispõe sobre autorização para a realização de obras e serviços necessários ao fornecimento de energia elétrica temporária para os Jogos Rio 2016; e altera as Leis nºs 11.473, de 10 de maio de 2007, que dispõe sobre cooperação federativa no âmbito da segurança pública, 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida e a regularização fundiária de assentamentos em áreas urbanas, 12.035, de 1º de outubro de 2009, que institui o Ato Olímpico, e 12.462, de 4 de agosto de 2011, que institui o Regime Diferenciado de Contratações Públicas - RDC.",NA
"MPV",672,2015,"Dispõe sobre a política de valorização do salário mínimo para o período de 2016 a 2019.

NOVA EMENTA: Dispõe sobre a política de valorização do salário mínimo e dos benefícios pagos pelo Regime Geral de Previdência Social para o período de 2016 a 2019.",NA
