Deputado,Partido,Estado,Voto,Gênero,Fala,
Fabio Garcia,PSB,MT,Sim,M,"Sr. Presidente, por um Brasil mais justo, pela mudança, pela retomada da esperança, por um novo caminho, pelo meu Mato Grosso, que tanto amo, pelos milhões de brasileiros que foram às ruas, pelos meus mato-grossenses, eu voto sim.",
Nilson Leitão,PSDB,MT,Sim,M,"Meus colegas Deputados e Deputadas de todos os partidos, o Brasil chegou hoje ao juízo final de uma luta de quase 1 ano dizendo que o impeachment tinha que ocorrer. Que Deus ilumine este País! Pela nossa Pátria unida, não a do Brasil de nós e eles, porque o Brasil é um só — ninguém vai nos dividir —, em nome da minha família, do meu Mato Grosso, da minha cidade de Sinop, da nossa Pátria, eu voto sim, pelo Brasil.",
Professor Victório Galli,PSC,MT,Sim,M,"Sr. Presidente, em nome da minha família, em nome do meu Estado de Mato Grosso, em nome do Brasil, em nome do povo cristão, que detesta a corrupção, o meu voto é sim. Já dizia Olavo de Carvalho, na década de 90, que o PT daria no Brasil PT — Perda Total.",
Ságuas Moraes,PT,MT,Não,M,"Sr. Presidente, pelo Brasil e por Mato Grosso, por tudo o que Lula e Dilma fizeram por este País, pela democracia e contra o golpe, meu voto é não.",
Tampinha,PSD,MT,Sim,M,"Sr. Presidente, em 1992, eu estava nesta Casa e votei sim, junto com o povo brasileiro. Pelo meu povo honrado de Mato Grosso, pelo Governador Pedro Taques, homem sério e honesto, pela minha família Curvo — meu pai completa 100 anos este ano —, pela minha esposa, meu neto, e em memória dos meus dois filhos falecidos Rodolfo e Roland, eu voto sim.",
Valtenir Pereira,PMDB,MT,Não,M,"Sr. Presidente, nobres pares, eu vou votar de acordo com a ordem jurídica. Se chegar a este Plenário processo de impeachment contra o Vice-Presidente Michel Temer com o mesmo fundamento deste processo de impeachment, eu já adianto: vou votar contra. Então, Sr. Presidente e nobres pares, meu voto é não ao impeachment.",
Alex Manente,PPS,SP,Sim,M,"Sr. Presidente, tenho a honra de iniciar a votação do Estado mais forte do nosso País. Em respeito à minha família, para honrar o futuro das minhas filhas, para ter fé no nosso País, trago aqui a representação de uma das maiores regiões do nosso País, que é o grande ABC paulista. Trago também a bandeira da minha cidade, São Bernardo do Campo. É pelo Brasil e por São Bernardo que eu voto sim, pelo impeachment da Presidente.",
Alexandre Leite,DEM,SP,Sim,M,"Sr. Presidente, eu saúdo o Brasil e os brasileiros. Eu saúdo o meu Estado de São Paulo e a minha querida Zona Sul com o voto sim, pelo impedimento da Presidente Dilma Vana Rousseff. Tchau, querida!",
Ana Perugini,PT,SP,Não,F,"Deputadas e Deputados, trabalhadoras e trabalhadores que estão nos ouvindo, nossa juventude democrática, nossa democracia jovem não pode ser ferida de morte neste Parlamento, que deveria defendê-la. Pela democracia do nosso País, pela soberania do voto popular, não, Presidente, não.",
Andres Sanchez,PT,SP,Não,M,"Sr. Presidente, este é o meu primeiro mandato. Meu filhos nunca quiseram que eu entrasse na política, e a maioria dos corintianos também não; mas, infelizmente, entrei. Que decepção! Meu voto é não.",
Antonio Bulhões,PRB,SP,Sim,M,"Sr. Presidente, eu jamais aceitaria fazer parte de um golpe. Com a consciência de que este processo seguiu rigorosamente todos os princípios constitucionais, eu voto sim. Que Deus abençoe o Brasil!",
Arlindo Chinaglia,PT,SP,Não,M,"Sr. Presidente e demais pares, o caminho mais curto para garantir a vontade popular e representar o povo brasileiro é respeitar o resultado das eleições. A segurança deste processo égarantida pela Constituição. Então, em defesa da democracia, em defesa da Constituição, em defesa de homens e mulheres que estão nas ruas hoje e que estiveram sempre nas ruas em defesa da democracia, o meu voto é não.",
Arnaldo Faria de Sá,PTB,SP,Sim,M,"Pela segunda vez, eu vou votar pelo impeachment e, sem dúvida nenhuma, acompanhando aqueles aposentados, pensionistas e idosos que querem que eu vote dessa maneira. Pela recuperação da economia brasileira, pelo combate à recessão e pela garantia de emprego para 10 milhões de trabalhadores desempregados, meu voto é sim.",
Arnaldo Jardim,PPS,SP,Sim,M,"Sr. Presidente, em homenagem ao PPS, que neste processo todo foi altivo, firme e decidido; em homenagem ao grande brasileiro, Presidente nacional, Deputado Roberto Freire; em homenagem ao setor ativo, inovador e gerador de renda, que é o setor agropecuário; epara que venha um governo de reconstrução nacional e que o Brasil vença hoje, voto sim, Sr. Presidente!",
Baleia Rossi,PMDB,SP,Sim,M,"Hoje é o dia de devolvermos a esperança ao povo brasileiro. Em respeito à Constituição Federal, em respeito aos mais de 208 mil eleitores que me deram a oportunidade de estar aqui, por São Paulo e pelo Brasil, voto sim. Que Deus abençoe o nosso País!",
Beto Mansur,PRB,SP,Sim,M,"Sr. Presidente, não existe nada mais democrático do que o que estamos fazendo aqui. Eu, pela segunda vez, estou votando o impeachment de um Presidente, e a Presidente Dilma Rousseff vai receber o impeachment desta Casa porque é incompetente administrativamente e porque não tem relação política com o Congresso Nacional. Nós precisamos recuperar o Brasil, e eu tenho certeza de que com o Michel Temer vamos fazer isso. O meu voto é sim.",
Bruna Furlan,PSDB,SP,Sim,F,"Saquearam a nossa República, mas hoje resgataremos a esperança do povo brasileiro. Pela minha querida cidade Barueri, pela minha família, o meu voto é sim. Sim ao processo de impeachment da Presidente Dilma.",
Bruno Covas,PSDB,SP,Sim,M,"Sr. Presidente, eu aprendi que, diante das adversidades, só há três atitudes possíveis: enfrentar, combater e vencer. E nós vamos vencer esta. Eu venho aqui hoje dar voz a todos os paulistas que, anônimos, foram para as ruas dizer basta. Eu voto sim.",
Capitão Augusto,PR,SP,Sim,M,"Sr. Presidente, pelo futuro do meu filho, Breno, pela minha família, pela minha cidade de Ourinhos e região, pela minha querida Polícia Militar do Estado de São Paulo, pelo Brasil, pela honestidade e pela ética, em homenagem aos policiais militares que deram a sua vida pela sociedade, eu voto sim,pelo impeachment.",
Carlos Sampaio,PSDB,SP,Sim,M,"Brasileiros e brasileiras, para que a decência se sobreponha a este Governo moralmente desonesto, o meu voto é sim.",
Carlos Zarattini,PT,SP,Não,M,"Contra o golpe, em defesa da democracia, em defesa dos direitos dos trabalhadores, em defesa do direito dos aposentados, em defesa do petróleo do pré-sal, em homenagem à juventude paulista, que ocupou dezenas de escolas, e aos trabalhadores que estão na rua em defesa da democracia, meu voto é não.",
Celso Russomanno,PRB,SP,Sim,M,"Sr. Presidente, o meu Estado, o Estado de São Paulo, me deu a honra de ser o Deputado mais votado do Brasil, com 1.524.286 votos. Não poderia, de forma nenhuma, de forma nenhuma, fazer com que o povo do meu Estado se decepcionasse comigo. Pelo meu Estado, pela família brasileira, pela minha família, meus filhos, a geração dos meus filhos e a geração dos meus netos, eu voto sim ao impeachment, Sr. Presidente.",
Dr. Sinval Malheiros,PTN,SP,Sim,M,"Meu querido Presidente, colegas Deputados, eu sou um dos representantes do Estado de São Paulo. Estou solidário à nossa população brasileira e paulista, pelas suas grandes dificuldades. Na saúde, as Santas Casas estão fechando, endividadas, com médicos e enfermeiros passando por dificuldades. Em relação aos estudantes, o FIES está muito comprometido, e muitos bons estudantes não conseguem estudar. Quanto ao desemprego, o setor sucroalcooleiro da nossa região, que é um setor que sempre gerou emprego, hoje está em grande dificuldade. Em decorrência de todos esses fatores, eu acho que temos que dar ânimo e uma nova esperança para o povo brasileiro. Votamos sim.",
Duarte Nogueira,PSDB,SP,Sim,M,"Sr. Presidente, Sras. e Srs. Parlamentares brasileiros, pelo reencontro deste País maravilhoso com a sua esperança, porque não aguenta mais tanta afronta à Constituição, mentiras, impunidade e corrupção; pela minha família, meus filhos e meus pais, que me ensinaram valores e princípios; pelos paulistas, em especial os da minha terra natal; e pelos brasileiros, eu voto sim, pelo impeachment.",
Edinho Araújo,PMDB,SP,Sim,M,"Sr. Presidente, Sras. e Srs. Parlamentares, celebrando a Constituição Cidadã de Ulysses Guimarães, as liberdades individuais com o povo nas ruas, o fortalecimento das instituições brasileiras, pelo Brasil, por São Paulo, por São José do Rio Preto e região, por esta e pelas futuras gerações, para renovar as esperanças do povo brasileiro e pedindo a Deus que abençoe este País, o meu voto é sim.",
Eduardo Bolsonaro,PSC,SP,Sim,M,"Pelo povo de São Paulo nas ruas, com o espírito dos revolucionários de 1932; em respeito aos 59 milhões de votos contra o Estatuto do Desarmamento, em 2005; pelos militares de 1964, hoje e sempre; pelas polícias e, em nome de Deus e da família brasileira, é sim. E Lula e Dilma na cadeia.",
Eduardo Cury,PSDB,SP,Sim,M,"Sob a proteção de Deus, representando o Vale do Paraíba, em apoio ao Juiz Sergio Moro e aos garotos da Lava-Jato, em defesa dos valores da liberdade e do respeito aos valores individuais, o meu voto só pode ser sim, a favor do impeachment.",
Eli Corrêa Filho,DEM,SP,Sim,M,"Contra a corrupção deste País, pelo futuro das minhas filhas Sophia e Luna e de todos os brasileiros, por Guarulhos, por São Paulo e pelo Brasil, sim ao impeachment.",
Evandro Gussi,PV,SP,Sim,M,"Sr. Presidente, este é o momento de silenciarmos a nossa voz e o nosso coração e de ouvirmos a voz que vem das urnas inundadas de verde-amarelo no Brasil. A favor do Brasil, por São Paulo, especialmente, do seu oeste, Sr. Presidente, eu voto sim e registro aqui que o Deputado Mendes Thame, suplente nesta ocasião, se aqui estivesse, também votaria sim, Sr. Presidente.",
Fausto Pinato,PP,SP,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, em um momento este País escolheu a bandeira vermelha, mas viu que errou e quer novamente o verde-amarelo, a ordem e o progresso. Esse povo que está aí fora não veio da Venezuela, não veio da Coreia do Norte. Eu queria aqui, em nome da minha família, em nome da minha região noroeste do Estado de São Paulo, da minha cidade natal, votar sim e registrar que William Woo, que é suplente, se estivesse aqui, também votaria sim, por um Brasil mais forte, um Brasil independente, um Brasil sem corrupção.",
Flavinho,PSB,SP,Sim,M,"Cumprindo a minha obrigação constitucional de legislador e de fiscalizador, eu acolho a denúncia dos juristas que foi apresentada contra a Presidente Dilma Rousseff. Também, fazendo um julgamento político, creio que não é o melhor Governo para este País. Mas, Sr. Presidente, com todo respeito institucional que tenho por V.Exa., espero que também esta Casa tenha a coerência de fazer com que o processo contra V.Exa. progrida, para que esta Casa também seja passada a limpo. Pelo Brasil, pelo meu Estado e pela honra da minha família, eu voto sim.",
Floriano Pesaro,PSDB,SP,Sim,M,"Sr. Presidente, em respeito aos meus eleitores, em respeito ao povo paulista, por um País mais justo, humano, solidário e ético, sob a proteção do Grande Arquiteto do Universo, eu, Floriano Pesaro, e meu suplente, Mendes Thame, votamos sim, pelo impedimento da Presidente Dilma.",
Gilberto Nascimento,PSC,SP,Sim,M,"Sr. Presidente, eu, primeiro, agradeço a Deus pelo fato de estarneste momento nesta Casa. Em nome da minha família e pensando no futuro dos meus netos, Guilherme, Elisa e Gabriel; pensando também nos 10 milhões de brasileiros que estão desempregados; pensando nos mais de 60 milhões de pessoas que estão com seu nome no SPC; pensando ainda no povo evangélico e nos meus eleitores de São Paulo; na esperança de que os brasileiros voltem a sonhar, voltem a sorrir, o meu voto é sim ao impeachment. Muito obrigado.",
Goulart,PSD,SP,Sim,M,"Pela liberdade, igualdade e fraternidade; pelos meus eleitores de São Paulo,especialmente os da Zona Sul de São Paulo; pelos meus filhos, Fabinho e Rodrigo Goulart; pelo Deputado Estadual Jorge Caruso; por Vargem Bonita, Grajaú, Parelheiros, Capela do Socorro e Santo Amaro, eu voto sim, Sr. Presidente.",
Guilherme Mussi,PP,SP,Sim,M,"Sr. Presidente, senhoras e senhores, pela legalidade, com muita responsabilidade e serenidade, em respeito à minha família, aos meus amigos, a todos os paulistas e aos brasileiros, meu voto é sim.",
Herculano Passos,PSD,SP,Sim,M,"Por São Paulo, pela minha querida cidade de Itu e toda a região, pela minha família, por todos aqueles que confiaram o voto em mim, eu voto sim, Sr. Presidente. Viva o Brasil!",
Ivan Valente,PSOL,SP,Não,M,"A todo o povo brasileiro, quero dizer que não aceito o corrupto Eduardo Cunha presidindo qualquer processo de impeachment. Ele deveria ser o primeiro impedido. (Manifestação no plenário.) A eleição de Temer, se vingar o impeachment, é uma fraude que deve ser evitada, porque Temer é uma armação para sacrificar os trabalhadores e para abafar a Lava-Jato. Pela democracia e contra o golpe, o PSOL é não.",
Jefferson Campos,PSD,SP,Sim,M,"A palavra de Deus diz: Quando um justo governa, o povo se alegra. Quando um ímpio domina, o povo sofre.  Pelo fim desse Governo injusto que está fazendo o povo sofrer, pela Nação Quadrangular no Brasil, por um pai de 78 anos que me ensinou os princípios da palavra de Deus, pelo meu Estado, eu voto sim, Sr. Presidente.",
João Paulo Papa,PSDB,SP,Sim,M,"Representando aqui a vontade majoritária da minha cidade de Santos, da Baixada Santista, que eu represento, do Estado de São Paulo, e pelo bem do Brasil; o meu voto é sim.",
Jorge Tadeu Mudalen,DEM,SP,Sim,M,"Pela minha família — pela Sandra, pela Érica, pelo Vítor, pelo Jorge e pelo meu neto que está chegando agora —, por Guarulhos, por São Paulo, pelo Brasil, o voto é sim.",
José Mentor,PT,SP,Não,M,"Em respeito à Constituição e à soberania popular, em defesa da democracia, da justiça e por ser impossível um impeachment sem crime de responsabilidade; o meu voto é não.",
Keiko Ota,PSB,SP,Sim,F,"Sr. Presidente, em nome do meu querido filho, Ives Ota; em nome de todas as mulheres brasileiras; em nome de milhares de mães que perderam os seus filhos em virtude da violência, que clamam por paz, justiça e direitos humanos para todos, declaro o meu voto sim.",
Luiz Lauro Filho,PSB,SP,Sim,M,"Sr. Presidente, deixo claro que o meu posicionamento desde o início era para que houvesse novas eleições, para que o povo, sim, pudesse escolher o futuro do nosso País. Mas, com o sentimento de dever e obrigação, representando os mais de 105 mil eleitores que me colocaram aqui neste meu primeiro mandato, honrando esta confiança que recebi; em nome da minha família — meus pais, que estão aqui em Brasília me acompanhando; minha mãe, Iara; meu pai, Luiz Lauro; minha esposa, Larissa, e o meu filho, que traz também o meu nome, Luiz Lauro Neto —, Sr. Presidente, eu voto sim.",
Luiza Erundina,PSOL,SP,Não,F,"Pelos que deram a vida pela democracia no Brasil e pelo empoderamento das mulheres, meu voto é não.",
Major Olimpio,SD,SP,Sim,M,"Fui dentro do covil dos bandidos, na faixa da posse do Lula, para safá-lo das mãos do Juiz Moro, dizer o que estava entalado na garganta de milhões e milhões de brasileiros! E agora eu vou repetir: Dilma, você é uma vergonha, vergonha, vergonha! Sim.",
Mara Gabrilli,PSDB,SP,Sim,F,"Por São Paulo, pelo fim dessa quadrilha que assaltou o País, pelo meu pai, que tanto sofreu na mão do PT, por mais dignidade às pessoas com deficiência, pelo meu povo brasileiro, eu voto sim.",
Marcelo Squassoni,PRB,SP,Sim,M,"Por você, meu pai, e pela sua história;pelo meu filho de 18 anos e pela juventude do Brasil; pelo Guarujá, minha cidade querida, e pela Baixada Santista, é claro que o meu voto é sim, Sr. Presidente!",
Marcio Alvino,PR,SP,Sim,M,"Sr. Presidente, por todos que acreditaram em mim; pelo Estado de São Paulo; pela minha mãe, ex-Prefeita em Guararema; por Mogi das Cruzes e por toda a região, o meu voto é sim, Sr. Presidente.",
Miguel Haddad,PSDB,SP,Sim,M,"Sr. Presidente, em respeito aos milhões de brasileiros que foram às ruas pedir o impeachment da Presidente Dilma, representando São Paulo, representando Jundiaí e região, o meu voto é sim!",
Miguel Lombardi,PR,SP,Sim,M,"Sr. Presidente, eu vou votar pelas famílias que estão desesperadas, sem emprego, sem seu sustento, pelas famílias que estão com medo de perder o seu emprego, pelo desenvolvimento, pela geração de emprego, pela Nação brasileira, pelo Estado de São Paulo, pela minha consciência, pela minha mãe, pela memória do meu pai, pela minha cidade de Limeira, por ter acreditado em mim, eu voto sim, Sr. Presidente!",
Milton Monti,PR,SP,Sim,M,"Voto pela juventude brasileira, pela esperança de um futuro melhor. Voto sim!",
Missionário José Olimpio,DEM,SP,Sim,M,"Sr. Presidente, eu quero, em primeiro lugar, agradecer a Deus, àminha família, aos meus amigos, à minha querida cidade de Itu, à região, ao Estado de São Paulo e ao Brasil. Voto sim, Sr. Presidente!",
Nelson Marquezelli,PTB,SP,Sim,M,"Sr. Presidente, o relatório apresentado pelo Líder do PTB, Deputado Jovair Arantes, foi conciso e atendeu aos seus objetivos, tanto é que a Comissão o aprovou. Eu consultei o PTB da minha cidade de Pirassununga, consultei o Estado de São Paulo, o nosso regional, e consultei o nosso Partido Nacional, que fechou questão conosco: por unanimidade de todo o PTB brasileiro, o voto é sim.",
Nilto Tatto,PT,SP,Não,M,"Sr. Presidente, em defesa dos direitos indígenas e dos quilombolas, em defesa da reforma agrária, em defesa da agricultura familiar, em defesa do Minha Casa, Minha Vida, em defesa da Constituição e da democracia, eu sou contra esse golpe tramado pelo Presidente desta Casa e pelo Vice-Presidente Michel Temer.",
Orlando Silva,PCdoB,SP,Não,M,"Saudando os trabalhadores e trabalhadoras do Brasil que foram às ruas em defesa da democracia, como os que neste momento ocupam o Vale do Anhangabaú, em São Paulo; em defesa da Constituição Federal, que, quando tomei posse, jurei defender e fazer cumprir; em defesa da democracia, o meu voto e odo meu partido, o PCdoB — um partido que tem história, princípio, coerência, lado e coragem —, o voto do PCdoB é não. Não ao golpe!",
Paulo Freire,PR,SP,Sim,M,"Sr. Presidente, que Deus tenha misericórdia do nosso País! Por São Paulo, pelo Brasil — e também, Sr. Presidente, em respeito e fidelidade ao meu povo assembleiano, que me trouxe para este Parlamento —, o meu voto é sim, Sr. Presidente.",
Paulo Maluf,PP,SP,Sim,M,"Sr. Presidente, o meu voto é sim.",
Paulo Pereira da Silva,SD,SP,Sim,M,"Pelos trabalhadores do Brasil, pelos aposentados, contra os 10 milhões de pessoas que perderam emprego no Governo Dilma, do PT, pelo crescimento do Brasil, por mais emprego e contra a boquinha do PT, pelo fim da boquinha do PT e do PCdoB, eu voto sim, Sr. Presidente.",
Paulo Teixeira,PT,SP,Não,M,"Ao povo brasileiro, não ao golpe daqueles que querem tirar uma pessoa que teve 54 milhões de votos nas urnas. Esses que querem tirá-la, não têm votos. Contra o ataque à Constituição e à democracia que está sendo feito aqui nesta tarde em Brasília; e contra a conspiração dirigida pelo réu por corrupção no Supremo Tribunal Federal, Eduardo Cunha, junto com Michel Temer e Aécio Neves, com o objetivo de tirar direitos do povo brasileiro, muitos deles conquistados nos Governos Lula e Dilma, voto não, pelo Brasil!",
Pastor Marcos Feliciano,PSC,SP,Sim,M,"Com a ajuda de Deus, pela minha família, pelo povo brasileiro, pelos evangélicos da Nação toda, pelos meninos do MBL, pelo Vem Pra Rua Brasil — dizendo que o Olavo tem razão, Sr. Presidente, dizendo tchau para essa querida e para o PT, Partido das Trevas —, eu voto sim ao impeachment, Sr. Presidente!",
Renata Abreu,PTN,SP,Sim,F,"Sr. Presidente, hoje passaremos a limpo o Brasil. A voz do povo ecoará na Casa do Povo. Por São Paulo, pela minha família, pelo meu marido, Gabriel, e pelos meus dois filhos, Felipe e Rafael — eu sou Renata Abreu —, digo sim ao impeachment.",
Ricardo Izar,PP,SP,Sim,M,"Sr. Presidente, por amor ao Brasil, pela memória de meu pai, Ricardo Izar, poramor à minha filha e às futuras gerações, e por todos aqueles que exercem a cidadania na Avenida Paulista, o meu voto é sim.",
Ricardo Tripoli,PSDB,SP,Sim,M,"Sr. Presidente, pelos eleitores de São Paulo, do meu Estado, da cidade de São Paulo, lembrando o que me disseram Giovana, Bianca e Bruno, quero agradecer muito os eleitores que aqui me trouxeram e que me recomendaram votar sim pelo impeachment.",
Roberto Alves,PRB,SP,Sim,M,"Sr. Presidente, o povo brasileiro e o povo paulista clamam por justiça. Pela minha família, pela minha esposa, pelos meus filhos, pelo meu neto Gabriel, o meu voto é sim.",
Roberto de Lucena,PV,SP,Sim,M,"Sr. Presidente, o Brasil merece uma chance, o Brasil merece uma oportunidade. Énessa direção, com respeito ao povo de São Paulo e por amor à Nação brasileira, que eu voto sim. Que Deus abençoe o Brasil, Sr. Presidente.",
Rodrigo Garcia,DEM,SP,Sim,M,"Sr. Presidente, ao lado aqui do meu suplente, Deputado Marcelo Aguiar, que comigo representa São Paulo; pelo futuro dos meus filhos, pelo futuro dos filhos de todos os brasileiros, pelo nosso querido Estado de São Paulo e pelo Brasil, eu voto sim.",
Samuel Moreira,PSDB,SP,Sim,M,"Sr. Presidente, por absoluto respeito à Constituição, por reformas, pela esperança de um futuro melhor para o nosso País, eu voto sim.",
Sérgio Reis,PRB,SP,Sim,M,"Sr. Presidente, todos aqui presentes, eu acho que neste plenário não tem ninguém que conheça o Brasil como eu. São 58 anos de carreira, em todas as cidades e todos Estados fui recebido com muito carinho. Vi muitas coisas tristes. Perguntaram a mim: O que você vai fazer lá em Brasília?. Eu disse: Vou dedicar 4 anos da minha vida ao meu povo. Hoje é um momento importante para mim, porque nós precisamos mudar esse estágio. Não é possível que nós tenhamos 10 milhões de desempregados, o povo morrendo nos hospitais e ninguém faz nada. Meu voto é sim, pelo PRB.",
Silvio Torres,PSDB,SP,Sim,M,"Sr. Presidente, pelo meu Estado de São Paulo, governado há 20 anos por políticos honestos do meu partido, pela minha região, São José do Rio Pardo, minha terra natal, pelos milhões de brasileiros que foram às ruas clamar por decência na vida pública, por uma nova história do Brasil que vai varrer os corruptos que estão no Governo e onde vão viver os meus filhos e os meus netos. Sim, Sr. Presidente.",
Tiririca,PR,SP,Sim,M,"Sr. Presidente, pelo meu país, meu voto é sim!",
Valmir Prascidelli,PT,SP,Não,M,"Sr. Presidente, por direitos iguais a todos os brasileiros, com a minha consciência absolutamente tranquila, diferentemente de muitos aqui, mas com o coração cheio de esperança de que a luta pelo Brasil melhor vai continuar. Pela democracia, contra o golpe, eu voto não!",
Vanderlei Macris,PSDB,SP,Sim,M,"Sr. Presidente, meus caros colegas, meu voto é contra o Governo, que institucionalizou a corrupção neste País. Quero fazer homenagem aqui aos brasileiros de bem, àqueles milhões que foram às ruas para reivindicar mudanças, e mudança é o impeachment. Pela Constituição, pelo Brasil, pelo meu Estado de São Paulo, voto sim, Sr. Presidente.",
Vicente Candido,PT,SP,Não,M,"Sr. Presidente, em respeito à Constituição brasileira; em homenagem aos jovens trabalhadores que ocuparam as ruas do Brasil, nos últimos dias, pregando a decência, contra o ódio e contra o rancor; em homenagem aos trabalhadores que um dia decidiram construir a história com as suas próprias mãos e fizeram do seu instrumento de luta política o trabalho, que é o Partido dos Trabalhadores, eu voto contra o impeachment da Presidente Dilma.",
Vicentinho,PT,SP,Não,M,"Eu não sou corrupto, não faço conchavo, não sou traidor da classe trabalhadora, nem oportunista. Em nome da família da classe operária, do meu povo negro, dos quilombolas, dos trabalhadores do campo e da cidade, em nome da dignidade da Presidenta Dilma, eu não aceito este conluio espúrio. Por isso, voto não.",
Vinicius Carvalho,PRB,SP,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, povo brasileiro, este Governo errou ao apostar na desordem. Este Governo errou ao não acreditar no progresso deste País. E nós nesta Casa, com mais de 95 milhões de votos dos Deputados, temos, sim, Sr. Presidente, legitimidade para poder dar fim a este Governo. Em nome do povo brasileiro, em nome do Estado de São Paulo, que me acolheu muito bem, em nome do PRB, meu partido, especialmente da minha esposa e da minha filha, que tem 20 anos, as minhas principais eleitoras, que sabem da dignidade do meu trabalho, o nosso voto é sim.",
Vitor Lippi,PSDB,SP,Sim,M,"Sr. Presidente, em nome de todos os moradores de Sorocaba e da nossa querida região, em nome da minha família, em nome daquelas pessoas que estão esperando atendimento nas portas dos hospitais deste País, contra a corrupção, contra a mentira, contra o populismo, a favor da volta dos empregos neste País e pelo Brasil, voto simpelo afastamento da Presidente Dilma.",
Alberto Filho,PMDB,MA,Sim,M,"Sr. Presidente, pela moralidade, pela democracia do nosso País, em nome do povo do meu Estado do Maranhão, em especial da minha cidade de Bacabal, que hoje completa 96 anos, eu voto sim ao prosseguimento do impeachment.",
Aluisio Mendes,PTN,MA,Não,M,"Sr. Presidente, pelo direito e certeza de poder olhar no espelho e ficar em paz com a minha consciência, eu voto não.",
André Fufuca,PP,MA,Sim,M,"Em nome da unidade partidária do Partido Progressista, dos milhares de pessoas que foram enganadas pela Refinaria Premium, dos milhares de pessoas que choraram a morte dos seus entes queridos na BR-75, em nome desse Estado que carrego nas costas e no coração, olhando para você e para o meu querido Alto Alegre, digo ao povo maranhense e ao povo do Brasil que voto sim, a favor do impeachment.",
Cleber Verde,PRB,MA,Sim,M,"Sr. Presidente, Deputados, brasileiros e brasileiras, esperamos que amanhã possamos estar todos unidos em favor do Brasil. Sr. Presidente, embora ninguém possa voltar atrás para fazer um novo começo, qualquer um pode começar de novo e fazer um novo fim. O PRB segue junto e unido. Que Deus nos abençoe. Sim ao impeachment!",
Eliziane Gama,PPS,MA,Sim,F,"Sr. Presidente, pelo combate à corrupção, que ficou cristalizada neste Governo, em nome da força do meu Maranhão, em nome da força da minha São Luís, em nome da força da minha gente nordestina, eu voto sim ao impeachment!",
Hildo Rocha,PMDB,MA,Sim,M,"Em respeito aos homens e mulheres do Maranhão que me fizeram Deputado Federal e pelo desenvolvimento do nosso País, eu voto sim, Sr. Presidente.",
João Castelo,PSDB,MA,Sim,M,"Sr. Presidente, estou há 44 anos na política. Eu sempre disse que político não podia perder duas coisas: a coerência e a dignidade. Este é o meu quinto mandato aqui — fora o de Senador, o de Governador e, recentemente, o de Prefeito de São Luís, minha capital. Eu continuo com a mesma coerência e dignidade, graças a Deus. Voto sim, pelo bem do Brasil!",
João Marcelo Souza,PMDB,MA,Não,M,"Sr. Presidente, em defesa da nossa frágil democracia, da nossa imatura democracia, eu voto contra o impeachment. Voto não.",
José Reinaldo,PSB,MA,Sim,M,"Sr. Presidente, quero pedir desculpas ao meu querido amigo e grande Governador Flávio Dino, pois eu não posso passar por cima da cassação estranhíssima e injusta do Governador Jackson Lago, a quem presto homenagem neste momento. Não posso passar por cima das perseguições e injustiças contra mim. Não posso passar por cima do bloqueio do Governo Federal ao meu Governo. Assim, Governador, a quem admiro e respeito, desculpe, mas o meu voto é sim.",
Junior Marreca,PEN,MA,Não,M,"Eu gostaria de dizer ao nobre Deputado Beto Mansur que nós aqui não estamos fazendo democracia. Nós estaríamos fazendo democracia se déssemos àqueles que estão nas ruas a oportunidade de ir às urnas, votar e escolher o seu Presidente democraticamente. Aí, sim, estaríamos fazendo democracia. Como disse João Castelo, para não perder a minha dignidade nem minha coerência, voto não ao impeachment.",
Juscelino Filho,DEM,MA,Sim,M,"Sr. Presidente, pela minha família, pelos meus amigos e colegas médicos, pelo povo do meu querido Estado, o Maranhão, que me deu a oportunidade de representá-lo hoje neste momento histórico, em especial pela minha querida Santa Inês e por Vitorino Freire, por um futuro melhor para o nosso Brasil, meu voto é sim!",
Pedro Fernandes,PTB,MA,Não,M,"Sem demagogias, Sr. Presidente, voto não.",
Rubens Pereira Júnior,PCdoB,MA,Não,M,"Conseguiu, hein, Presidente? Governo mal avaliado deve ser julgado nas urnas. Aqui deve ser apreciado se pedalada e decreto são ou não crime de responsabilidade. Segundo a Constituição, não é. Defender a Constituição em momentos contra majoritários é para quem tem coragem. Por isso, voto não!",
Sarney Filho,PV,MA,Sim,M,"Sr. Presidente, o PV, há muito tempo, decidiu por unanimidade votar sim ao impeachment. E é desta forma que eu coloco o meu voto. Sim.",
Victor Mendes,PSD,MA,Sim,M,"Acreditando, Sras. e Srs. Deputados, que o meu voto ajudará o nosso País, ajudará a melhorar o nosso País, com a coragem do maranhense de norte a sul, de leste a oeste, com o carinho e a força da minha cidade natal, a cidade de Pinheiro, em homenagem às minhas únicas e verdadeiras riquezas, minhas filhas, Amanda e Isabela, eu voto sim.",
